observation_date,DEXSLUS
2017-02-21,150.8721
2017-02-22,150.8721
2017-02-23,150.8721
2017-02-24,150.8721
2017-02-27,150.8721
2017-02-28,150.8721
2017-03-01,151.5048
2017-03-02,151.5048
2017-03-03,151.5048
2017-03-06,151.5048
2017-03-07,151.5048
2017-03-08,151.5048
2017-03-09,151.5048
2017-03-10,151.5048
2017-03-13,151.5048
2017-03-14,151.5048
2017-03-15,151.5048
2017-03-16,151.5048
2017-03-17,151.5048
2017-03-20,151.5048
2017-03-21,151.5048
2017-03-22,151.5048
2017-03-23,151.5048
2017-03-24,151.5048
2017-03-27,151.5048
2017-03-28,151.5048
2017-03-29,151.5048
2017-03-30,151.5048
2017-03-31,151.5048
2017-04-03,151.8620
2017-04-04,151.8620
2017-04-05,151.8620
2017-04-06,151.8620
2017-04-07,151.8620
2017-04-10,151.8620
2017-04-11,151.8620
2017-04-12,151.8620
2017-04-13,151.8620
2017-04-14,151.8620
2017-04-17,151.8620
2017-04-18,151.8620
2017-04-19,151.8620
2017-04-20,151.8620
2017-04-21,151.8620
2017-04-24,151.8620
2017-04-25,151.8620
2017-04-26,151.8620
2017-04-27,151.8620
2017-04-28,151.8620
2017-05-01,152.3909
2017-05-02,152.3909
2017-05-03,152.3909
2017-05-04,152.3909
2017-05-05,152.3909
2017-05-08,152.3909
2017-05-09,152.3909
2017-05-10,152.3909
2017-05-11,152.3909
2017-05-12,152.3909
2017-05-15,152.3909
2017-05-16,152.3909
2017-05-17,152.3909
2017-05-18,152.3909
2017-05-19,152.3909
2017-05-22,152.3909
2017-05-23,152.3909
2017-05-24,152.3909
2017-05-25,152.3909
2017-05-26,152.3909
2017-05-29,152.3909
2017-05-30,152.3909
2017-05-31,152.3909
2017-06-01,152.8082
2017-06-02,152.8082
2017-06-05,152.8082
2017-06-06,152.8082
2017-06-07,152.8082
2017-06-08,152.8082
2017-06-09,152.8082
2017-06-12,152.8082
2017-06-13,152.8082
2017-06-14,152.8082
2017-06-15,152.8082
2017-06-16,152.8082
2017-06-19,152.8082
2017-06-20,152.8082
2017-06-21,152.8082
2017-06-22,152.8082
2017-06-23,152.8082
2017-06-26,152.8082
2017-06-27,152.8082
2017-06-28,152.8082
2017-06-29,152.8082
2017-06-30,152.8082
2017-07-03,153.5875
2017-07-04,153.5875
2017-07-05,153.5875
2017-07-06,153.5875
2017-07-07,153.5875
2017-07-10,153.5875
2017-07-11,153.5875
2017-07-12,153.5875
2017-07-13,153.5875
2017-07-14,153.5875
2017-07-17,153.5875
2017-07-18,153.5875
2017-07-19,153.5875
2017-07-20,153.5875
2017-07-21,153.5875
2017-07-24,153.5875
2017-07-25,153.5875
2017-07-26,153.5875
2017-07-27,153.5875
2017-07-28,153.5875
2017-07-31,153.5875
2017-08-01,153.0978
2017-08-02,153.0978
2017-08-03,153.0978
2017-08-04,153.0978
2017-08-07,153.0978
2017-08-08,153.0978
2017-08-09,153.0978
2017-08-10,153.0978
2017-08-11,153.0978
2017-08-14,153.0978
2017-08-15,153.0978
2017-08-16,153.0978
2017-08-17,153.0978
2017-08-18,153.0978
2017-08-21,153.0978
2017-08-22,153.0978
2017-08-23,153.0978
2017-08-24,153.0978
2017-08-25,153.0978
2017-08-28,153.0978
2017-08-29,153.0978
2017-08-30,153.0978
2017-08-31,153.0978
2017-09-01,152.8125
2017-09-04,152.8125
2017-09-05,152.8125
2017-09-06,152.8125
2017-09-07,152.8125
2017-09-08,152.8125
2017-09-11,152.8125
2017-09-12,152.8125
2017-09-13,152.8125
2017-09-14,152.8125
2017-09-15,152.8125
2017-09-18,152.8125
2017-09-19,152.8125
2017-09-20,152.8125
2017-09-21,152.8125
2017-09-22,152.8125
2017-09-25,152.8125
2017-09-26,152.8125
2017-09-27,152.8125
2017-09-28,152.8125
2017-09-29,152.8125
2017-10-02,153.4905
2017-10-03,153.4905
2017-10-04,153.4905
2017-10-05,153.4905
2017-10-06,153.4905
2017-10-09,153.4905
2017-10-10,153.4905
2017-10-11,153.4905
2017-10-12,153.4905
2017-10-13,153.4905
2017-10-16,153.4905
2017-10-17,153.4905
2017-10-18,153.4905
2017-10-19,153.4905
2017-10-20,153.4905
2017-10-23,153.4905
2017-10-24,153.4905
2017-10-25,153.4905
2017-10-26,153.4905
2017-10-27,153.4905
2017-10-30,153.4905
2017-10-31,153.4905
2017-11-01,153.5925
2017-11-02,153.5925
2017-11-03,153.5925
2017-11-06,153.5925
2017-11-07,153.5925
2017-11-08,153.5925
2017-11-09,153.5925
2017-11-10,153.5925
2017-11-13,153.5925
2017-11-14,153.5925
2017-11-15,153.5925
2017-11-16,153.5925
2017-11-17,153.5925
2017-11-20,153.5925
2017-11-21,153.5925
2017-11-22,153.5925
2017-11-23,153.5925
2017-11-24,153.5925
2017-11-27,153.5925
2017-11-28,153.5925
2017-11-29,153.5925
2017-11-30,153.5925
2017-12-01,153.1085
2017-12-04,153.1085
2017-12-05,153.1085
2017-12-06,153.1085
2017-12-07,153.1085
2017-12-08,153.1085
2017-12-11,153.1085
2017-12-12,153.1085
2017-12-13,153.1085
2017-12-14,153.1085
2017-12-15,153.1085
2017-12-18,153.1085
2017-12-19,153.1085
2017-12-20,153.1085
2017-12-21,153.1085
2017-12-22,153.1085
2017-12-25,153.1085
2017-12-26,153.1085
2017-12-27,153.1085
2017-12-28,153.1085
2017-12-29,153.1085
2018-01-01,153.7452
2018-01-02,153.7452
2018-01-03,153.7452
2018-01-04,153.7452
2018-01-05,153.7452
2018-01-08,153.7452
2018-01-09,153.7452
2018-01-10,153.7452
2018-01-11,153.7452
2018-01-12,153.7452
2018-01-15,153.7452
2018-01-16,153.7452
2018-01-17,153.7452
2018-01-18,153.7452
2018-01-19,153.7452
2018-01-22,153.7452
2018-01-23,153.7452
2018-01-24,153.7452
2018-01-25,153.7452
2018-01-26,153.7452
2018-01-29,153.7452
2018-01-30,153.7452
2018-01-31,153.7452
2018-02-01,154.7737
2018-02-02,154.7737
2018-02-05,154.7737
2018-02-06,154.7737
2018-02-07,154.7737
2018-02-08,154.7737
2018-02-09,154.7737
2018-02-12,154.7737
2018-02-13,154.7737
2018-02-14,154.7737
2018-02-15,154.7737
2018-02-16,154.7737
2018-02-19,154.7737
2018-02-20,154.7737
2018-02-21,154.7737
2018-02-22,154.7737
2018-02-23,154.7737
2018-02-26,154.7737
2018-02-27,154.7737
2018-02-28,154.7737
2018-03-01,155.6386
2018-03-02,155.6386
2018-03-05,155.6386
2018-03-06,155.6386
2018-03-07,155.6386
2018-03-08,155.6386
2018-03-09,155.6386
2018-03-12,155.6386
2018-03-13,155.6386
2018-03-14,155.6386
2018-03-15,155.6386
2018-03-16,155.6386
2018-03-19,155.6386
2018-03-20,155.6386
2018-03-21,155.6386
2018-03-22,155.6386
2018-03-23,155.6386
2018-03-26,155.6386
2018-03-27,155.6386
2018-03-28,155.6386
2018-03-29,155.6386
2018-03-30,155.6386
2018-04-02,156.1857
2018-04-03,156.1857
2018-04-04,156.1857
2018-04-05,156.1857
2018-04-06,156.1857
2018-04-09,156.1857
2018-04-10,156.1857
2018-04-11,156.1857
2018-04-12,156.1857
2018-04-13,156.1857
2018-04-16,156.1857
2018-04-17,156.1857
2018-04-18,156.1857
2018-04-19,156.1857
2018-04-20,156.1857
2018-04-23,156.1857
2018-04-24,156.1857
2018-04-25,156.1857
2018-04-26,156.1857
2018-04-27,156.1857
2018-04-30,156.1857
2018-05-01,157.7527
2018-05-02,157.7527
2018-05-03,157.7527
2018-05-04,157.7527
2018-05-07,157.7527
2018-05-08,157.7527
2018-05-09,157.7527
2018-05-10,157.7527
2018-05-11,157.7527
2018-05-14,157.7527
2018-05-15,157.7527
2018-05-16,157.7527
2018-05-17,157.7527
2018-05-18,157.7527
2018-05-21,157.7527
2018-05-22,157.7527
2018-05-23,157.7527
2018-05-24,157.7527
2018-05-25,157.7527
2018-05-28,157.7527
2018-05-29,157.7527
2018-05-30,157.7527
2018-05-31,157.7527
2018-06-01,158.9619
2018-06-04,158.9619
2018-06-05,158.9619
2018-06-06,158.9619
2018-06-07,158.9619
2018-06-08,158.9619
2018-06-11,158.9619
2018-06-12,158.9619
2018-06-13,158.9619
2018-06-14,158.9619
