Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1972","1972","","37.81","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1973","1973","","70.69","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1974","1974","","101.05","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1975","1975","","113.75","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1976","1976","","107.83","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1977","1977","","301.14","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1978","1978","","264.12","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1979","1979","","243.68","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1980","1980","","284.55","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1981","1981","","405.28","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1982","1982","","411.95","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1983","1983","","431.88","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1984","1984","","353.59","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1985","1985","","373.95","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1986","1986","","385.74","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1987","1987","","408.25","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1988","1988","","445.13","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1989","1989","","402.38","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1990","1990","","409.02","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1991","1991","","563.36","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1992","1992","","364.26","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1993","1993","","407.47","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1994","1994","","353.45","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1995","1995","","246.95","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1996","1996","","256.21","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1997","1997","","213","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1998","1998","","240.78","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","1999","1999","","213","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","2000","2000","","180.58","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","2001","2001","","150.02","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","2002","2002","","159.29","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","2003","2003","","163.76","E","Estimated value"
"QI","Production Indices","144","Sri Lanka","432","Gross Production Index Number (2014-2016 = 100)","01701","Beans, dry","2004","2004","","120.54","E","Estimated value"
