Year, District    , Total_(%), Agriculture_(%), Industries_(%), Services_(%)
2020, Monaragala  ,     100.0,            47.8,           18.8,         33.4
2021, Monaragala  ,     100.0,            53.4,           16.6,         30.0
2022, Monaragala  ,     100.0,            51.4,           18.5,         30.1
2023, Monaragala  ,     100.0,            53.4,           14.8,         31.8
2024, Monaragala  ,     100.0,            53.3,           14.2,         32.6
2020, Ratnapura   ,     100.0,            42.8,           26.0,         31.1
2021, Ratnapura   ,     100.0,            42.0,           25.3,         32.7
2022, Ratnapura   ,     100.0,            41.3,           28.2,         30.5
2023, Ratnapura   ,     100.0,            41.6,           29.2,         29.2
2024, Ratnapura   ,     100.0,            38.3,           29.0,         32.7
2020, Kegalle     ,     100.0,            26.0,           32.7,         41.3
2021, Kegalle     ,     100.0,            23.5,           29.5,         47.0
2022, Kegalle     ,     100.0,            23.1,           30.5,         46.3
2023, Kegalle     ,     100.0,            21.3,           33.1,         45.6
2024, Kegalle     ,     100.0,            22.9,           30.3,         46.8
